"team","round","name","count"
"elephant","1","¤ý¬f¿Ä","26"
"elephant","1","Ã¹°êÅï","1"
"elephant","2","ªL©Ó­¸","13"
"elephant","2","¼ï§ÓªÚ","9"
"elephant","2","³¢ªúªL","3"
"elephant","2","ªL§Ó½å","3"
"elephant","2","³¢¤OÞ³","1"
"elephant","2","©P½U","1"
"elephant","2","Ã¹°êÅï","1"
"elephant","3","ªL§Ó½å","11"
"elephant","3","´^ÃÑ¿o","8"
"elephant","3","Ã¹°êÅï","7"
"elephant","3","¼B°aÓ¯","3"
"elephant","3","¾GñZ¤å","3"
"elephant","3","¶À¥ç§Ó","2"
"elephant","3","¤ýÅDÀM","1"
"elephant","3","¸­¤å²N","1"
"elephant","4","Ã¹°êÅï","10"
"elephant","4","¾GñZ¤å","9"
"elephant","4","¶À¥ç§Ó","8"
"elephant","4","¸­¤å²N","2"
"elephant","4","³¯±Ó½ç","2"
"elephant","4","©ñ±ó","1"
"elephant","4","¤ýÅDÀM","1"
"elephant","4","±iñZÅÉ","1"
"elephant","4","ªL¤¦²±","1"
"elephant","5","¶À¥ç§Ó","16"
"elephant","5","½²«³¥È","4"
"elephant","5","³¢«í§µ","3"
"elephant","5","³¯±Ó½ç","2"
"elephant","5","¤ýÅDÀM","2"
"elephant","5","¶§Ä£¾±","2"
"elephant","5","¾GÞ³»¨","1"
"elephant","5","³¯¬ù·æ","1"
"elephant","5","³¯ªl¥ç","1"
"elephant","5","Ä¬½n¹F","1"
"elephant","5","±iªµµ¾","1"
"elephant","6","½²«³¥È","7"
"elephant","6","¶§Ä£¾±","6"
"elephant","6","ªL¤¦²±","4"
"elephant","6","³¯ªl¥ç","3"
"elephant","6","³¢¤OÞ³","2"
"elephant","6","¤ý«T¦Ð","2"
"elephant","6","¤ý«Â±á","2"
"elephant","6","±i®a©_","1"
"elephant","6","¤_©s¶¯","1"
"elephant","6","¼ï®xÂ×","1"
"elephant","6","ªL¹©µq","1"
"elephant","6","Ä¬½n¹F","1"
"elephant","6","±i³Í­Û","1"
"elephant","6","¶À¸Î³Í","1"
"elephant","7","¶À©vÀs","6"
"elephant","7","¤ý«T¦Ð","4"
"elephant","7","¤ý«Â±á","3"
